Rep	Popsize	MigRate	GensDrift	Fst	Chi2Pval	PropTestsDropped
5	100.0	0.01	1.0	0.004662822126210383	2.1936179051884033e-60	0.0014457831325301205
5	100.0	0.01	10.0	0.041067389157012774	0.0	0.0163855421686747
5	500.0	0.001	1.0	0.001029496396501369	4.6638360724191284e-116	0.0
5	500.0	0.001	10.0	0.009624451808167386	0.0	0.0009638554216867469
5	500.0	0.01	1.0	0.0010364896531330308	1.468215530528203e-121	0.0
5	500.0	0.01	10.0	0.008361424511587251	0.0	0.0009638554216867469
6	100.0	0.001	1.0	0.005149646408818158	9.94593106137639e-83	0.0014457831325301205
6	100.0	0.001	10.0	0.04736716871930208	0.0	0.014939759036144579
6	100.0	0.01	1.0	0.0049566533364954705	6.954864436475627e-70	0.0014457831325301205
6	100.0	0.01	10.0	0.04705798935149475	0.0	0.01253012048192771
6	500.0	0.001	1.0	0.0011192718152220496	3.548555738086812e-129	0.0
6	500.0	0.001	10.0	0.010015530718405342	0.0	0.0009638554216867469
6	500.0	0.01	1.0	0.0009091699475802087	3.849386771239214e-96	0.0
6	500.0	0.01	10.0	0.008656491116338072	0.0	0.0009638554216867469
7	100.0	0.001	1.0	0.005711833878884493	1.7567670190573284e-93	0.0014457831325301205
7	100.0	0.001	10.0	0.06071820059821521	0.0	0.011566265060240964
7	100.0	0.01	1.0	0.005308032716746242	1.0234591662635057e-85	0.0009638554216867469
7	100.0	0.01	10.0	0.038948270959035934	0.0	0.015421686746987951
7	500.0	0.001	1.0	0.001095103388004885	3.2155339490193464e-118	0.0
7	500.0	0.001	10.0	0.010270872525456599	0.0	0.0014457831325301205
7	500.0	0.01	1.0	0.00110745904925384	6.04679088608118e-113	0.0
7	500.0	0.01	10.0	0.008905547571251693	0.0	0.0009638554216867469
8	100.0	0.001	1.0	0.00491857992185483	2.7802427442768688e-68	0.00048192771084337347
8	100.0	0.001	10.0	0.04771492255949204	0.0	0.00963855421686747
8	100.0	0.01	1.0	0.004169152849943632	1.3007844075241213e-52	0.0014457831325301205
8	100.0	0.01	10.0	0.041071931192379334	0.0	0.015421686746987951
8	500.0	0.001	1.0	0.0009046511770242131	9.415523376811589e-95	0.0
8	500.0	0.001	10.0	0.00893265722747705	0.0	0.00048192771084337347
8	500.0	0.01	1.0	0.0010767035787237777	6.982369989252053e-116	0.0
8	500.0	0.01	10.0	0.009008012975308361	0.0	0.0009638554216867469
9	100.0	0.001	1.0	0.005262378860113638	4.749499700016133e-83	0.0009638554216867469
9	100.0	0.001	10.0	0.045364173575032196	0.0	0.013493975903614458
9	100.0	0.01	1.0	0.003952703820462496	2.5417033698406465e-44	0.00048192771084337347
9	100.0	0.01	10.0	0.045101790801435705	0.0	0.013012048192771084
9	500.0	0.001	1.0	0.0009869228600328252	9.088789252883023e-107	0.0
9	500.0	0.001	10.0	0.00945774797618919	0.0	0.0024096385542168677
9	500.0	0.01	1.0	0.0009599491746174839	5.397755415699563e-104	0.0
9	500.0	0.01	10.0	0.009247468195183399	0.0	0.00048192771084337347
